id_invoice,customer_name,customer_last_name,customer_country,customer_city,customer_gender,car_VIN,car_make,car_model,car_color,invoice_date,invoice_amount,id_salesperson
14,Jackie,Roman,Colombia,San Carlos,Female,3N1AB7AP1FL457823,Mazda,Navajo,Mauv,18/6/2020,14531.95,4
15,Loydie,Bain,China,Fucheng,Male,3N1AB7AP3FY151144,Chevrolet,Caprice,Crimson,23/11/2019,25314.81,5
16,Way,Trevain,Indonesia,Rukunlima Bawah,Male,WAUDFAFC7FN250710,Alfa Romeo,Spider,Maroon,21/1/2019,27740.75,6
17,Chip,Wilkowski,China,Nanyang,Male,2FMDK3AC0AB783514,Nissan,Sentra,Indigo,26/5/2019,17207.66,7
18,Odelia,Dailly,Malaysia,Alor Setar,Female,WDDLJ7DB4DA020420,Isuzu,i-370,Puce,23/10/2018,20259.72,8
19,Shayne,Commander,China,Hongchang,Female,WVGEF9BP5ED904635,Lincoln,Town Car,Yellow,27/9/2018,31692.77,9
20,Hedvige,Caldicot,Portugal,Luso,Female,WAUPL58E34A544007,Mercury,Sable,Mauv,17/2/2018,11602.68,10
21,Marga,Tremoille,Nigeria,Kafarati,Female,1GD01XEG7FZ482042,BMW,Alpina B7,Yellow,30/11/2018,31853.12,1
22,Jori,Learmonth,Portugal,Boavista,Female,WVGEF9BP7FD853835,Fillmore,Fillmore,Red,29/1/2020,7579.61,2
23,Addie,Jessen,France,Sélestat,Male,1GKS1AE04CR739462,Bentley,Arnage,Goldenrod,25/2/2019,18320.9,3
24,Rosalyn,Mayze,Indonesia,Mentaraman Satu,Female,4T1BD1EB6EU855293,Audi,riolet,Indigo,28/4/2020,24912.28,4
25,Birgit,Stear,Belarus,Hal’shany,Female,WAUSH94F18N737790,Volkswagen,Scirocco,Maroon,19/2/2018,14289.41,5
26,Sybila,Bythell,China,Cangzhou,Female,1G6DE5EY7B0712252,Volkswagen,New Beetle,Khaki,25/5/2018,22754.66,6
27,Honey,Perazzo,Mexico,Santa Rosa,Female,1D7RB1GT7BS925993,Honda,Civic,Indigo,27/9/2019,7469.49,7
28,Eward,Starton,Poland,Zabierzów,Male,JHMZF1C67DS130815,Chevrolet,Silverado 1500,Crimson,24/3/2020,22743.28,8
29,Holden,MacGilfoyle,Moldova,Bender,Male,19UUA56753A805265,Lincoln,Navigator,Orange,20/1/2018,32391.83,9
30,Jorry,Salzburg,China,Huanghu,Female,WA1DGAFE2CD732689,Cadillac,Fleetwood,Indigo,21/8/2019,26422.97,10
31,Sunny,Goslin,Colombia,El Cerrito,Male,KNAFT4A20B5889040,Dodge,Stealth,Turquoise,22/3/2019,10862.33,1
32,Katuscha,Gabbidon,Japan,Minokamo,Female,1FTSW3B50AE978145,Nissan,Sentra,Aquamarine,15/6/2018,17429.95,2
33,Ashlan,Fautley,China,Xiaosong,Female,1N4AA5AP8EC172816,Audi,Quattro,Purple,25/12/2019,14457.12,3
34,Arnaldo,Brackenridge,Germany,Berlin,Male,WAURGAFD3EN557835,Volkswagen,New Beetle,Orange,28/8/2018,22460.68,4
35,Talbot,Rosin,Philippines,Tungawan,Male,1FTEX1CM4BF087498,Honda,S2000,Green,15/7/2019,19233.64,5
36,Viviana,Fedorchenko,Colombia,Purificación,Female,WDDGF5EB0AA650663,Chevrolet,Corvette,Mauv,29/4/2018,24488.26,6
37,Barron,Laise,Greece,Skalánion,Male,1D7RV1CT5BS063029,Mercury,Tracer,Orange,26/10/2019,18787.52,7
38,Nappy,Pagon,China,Yanshou,Male,1FTEW1CM5EF208854,Mitsubishi,Eclipse,Yellow,30/10/2020,30754.45,8
39,Andrei,Dailly,China,Bailizhou,Female,WP0CA2A83CS896300,Ford,Taurus,Goldenrod,16/12/2019,26552.87,9
40,Darsie,Hetterich,Japan,Asaka,Female,1GTPCTEX9AZ999499,Maserati,Spyder,Mauv,23/4/2020,8496.3,10
41,Kane,Hofler,South Korea,Muan,Male,WBXPC93488W690357,Pontiac,Bonneville,Pink,21/8/2020,19305.64,1
42,Caterina,Rickarsey,Philippines,Pañgobilian,Female,1D7RV1CP5AS841217,Mercury,Cougar,Pink,20/2/2020,20758.76,2
43,Lon,Fosten,China,Sa’erhusong,Male,1G4HE5EM4AU622684,Jeep,Wrangler,Purple,26/11/2019,21296.84,3
44,Jacintha,Ayrton,China,Baishan,Female,WAUJGBFCXDN915408,Lincoln,Continental,Fuscia,24/8/2019,26735.83,4
45,Danielle,Comolli,Brazil,Caeté,Female,WAUEH48H87K938503,Ford,Focus,Violet,20/10/2018,17869.5,5
46,Sergio,Starcks,Greece,Kalá Déndra,Male,WAUDG98E55A272124,Volvo,V50,Fuscia,29/1/2020,17740.52,6
47,Aretha,McKevany,China,Liudong,Female,SCBCR63W06C943926,GMC,Jimmy,Green,17/10/2019,13632.69,7
48,Elene,Ipgrave,Armenia,Sovetakan,Female,SAJWJ2GD8F8988846,Mercedes-Benz,W201,Mauv,21/8/2019,29013.77,8
49,Terrel,Molian,Peru,Urpay,Male,3N6CM0KN8FK015239,Volvo,V70,Pink,18/9/2018,25863.24,9
50,Mahmoud,Byles,Russia,Stavropol’,Male,2HKRM3H36FH707966,Hyundai,Sonata,Yellow,18/3/2020,5132.74,10
51,Suzanne,Sinclair,Kazakhstan,Sorang,Female,WA1CV94L97D557235,Scion,tC,Teal,18/9/2020,11322.79,1
52,Cinnamon,Hatherleigh,Russia,Obninsk,Female,3FADP0L32CR121352,Chevrolet,Corvette,Orange,13/1/2018,25465.19,2
53,Hildegarde,Benton,China,Yangping,Female,1G6AZ5SX4E0138085,Ford,F250,Puce,19/12/2019,22215.64,3
54,Rois,Tynnan,China,Xiangyanglu,Female,5GAKVBKD8FJ471954,Pontiac,Grand Prix,Turquoise,23/9/2018,21366.77,4
55,Sancho,Ikins,Poland,Kańczuga,Male,3D73M3HL8BG702315,Smart,Fortwo,Mauv,16/10/2018,27342.42,5
56,Bel,Skelhorn,Argentina,San Fernando del Valle de Catamarca,Female,1G4HP54K72U194119,Porsche,911,Purple,26/3/2019,11494.89,6
57,Lancelot,Newe,China,Zhangye,Male,1GYUKBEF4AR876078,Ford,Ranger,Fuscia,28/6/2019,30171.09,7
58,Colan,Colvie,Philippines,Lugo,Male,3C3CFFCR9ET613113,Mazda,MPV,Fuscia,28/5/2018,7544.67,8
59,Maddalena,Georg,Czech Republic,Dolní Dvořiště,Female,WAUVT68E15A363826,Volkswagen,GTI,Red,22/12/2020,24661.89,9
60,Herc,MacDuff,China,Yingdianjie,Male,1G6DD67V480436505,Mazda,Protege,Violet,16/12/2020,8255.13,10
61,Ayn,Dell Casa,China,Chengshan,Female,WAUCFAFR0AA456693,GMC,Safari,Purple,29/3/2020,34810.34,1
62,Barr,Coleridge,Portugal,Loivos,Male,1J4PN2GK1AW894344,Mitsubishi,Pajero,Puce,20/6/2020,25555.08,2
63,Gratia,Roselli,Vietnam,Châu Thành,Female,WBANB33584B055831,Subaru,Impreza,Yellow,22/7/2020,18308.06,3
64,Shaughn,Aime,Indonesia,Mangulewa,Male,5FRYD4H81FB626853,Kia,Rio,Violet,22/1/2020,26861.58,4
65,Rosanne,Holgan,Hungary,Debrecen,Female,JTDBT4K30CL959173,Subaru,Legacy,Green,30/1/2018,13375.03,5
66,Lira,Papaccio,Portugal,Vendas de Galizes,Female,3GYFNEEY5AS386717,Cadillac,STS-V,Turquoise,28/4/2020,31930.98,6
67,Giuditta,Shyre,Brazil,Cachoeira,Female,5TDBKRFH1FS222296,Audi,A8,Pink,16/7/2018,14746.5,7
68,Lorain,Fotherby,China,Jitian,Female,1FMEU7DE7AU847917,Lincoln,Continental,Khaki,26/10/2019,13406.54,8
69,Ber,Cranny,Nigeria,Zaki Biam,Male,1N6AA0CH2EN303033,GMC,2500,Indigo,13/2/2020,32460.78,9
70,Irvine,Sergeant,Finland,Ingå,Male,WDCYC3HF2BX154718,Suzuki,Grand Vitara,Khaki,21/4/2020,5323.51,10
71,Hannis,Totterdell,China,Xiabuji,Female,1GYUCGEF9AR353049,Pontiac,Sunbird,Maroon,14/9/2018,7999.64,1
72,Bernard,McGrah,Vietnam,Tam Bình,Male,WAUEFAFL2CN643630,Acura,Legend,Aquamarine,18/5/2018,31380.94,2
73,Athena,Burling,Indonesia,Pringsewu,Female,1G6DG5E54D0056059,Maserati,Gran Sport,Crimson,15/8/2020,6314.41,3
74,Margarette,Sundin,Tanzania,Kintinku,Female,WAUSH78E97A578190,Toyota,Prius v,Indigo,16/11/2020,21183,4
75,Waiter,Forrestor,South Africa,Jan Kempdorp,Male,JA32X2HU7BU047270,Dodge,Stratus,Crimson,27/2/2018,14909.94,5
76,Shannen,Hullock,Sierra Leone,Bumpe,Female,WAUFGBFB1BN726740,Chevrolet,Express 2500,Maroon,15/10/2020,16201.09,6
77,Thibaud,Screaton,Honduras,El Guapinol,Male,3C4PDDEG4FT738590,Chrysler,300,Teal,21/4/2018,20442.79,7
78,Hortensia,Pennuzzi,Puerto Rico,Guaynabo,Female,JTDKN3DU7A0253391,GMC,Savana 3500,Fuscia,22/9/2019,32132.25,8
79,Raffaello,Treweke,United States,Minneapolis,Male,1G4GD5GGXAF221862,Ford,Transit Connect,Turquoise,15/9/2018,31786.13,9
80,Merrel,Feldmesser,Sweden,Nossebro,Male,1G6AH5S34D0147058,Chrysler,LeBaron,Yellow,20/10/2018,19088,10
81,Ashli,Ianniello,China,Muyuzi,Female,1G6AG5RX0E0550080,Lincoln,MKX,Khaki,30/8/2019,21143.47,1
82,Mariquilla,MacPike,Belarus,Ivyanyets,Female,1GTN1TEX3CZ637281,Chrysler,Town & Country,Mauv,15/7/2018,17161.91,2
83,Ashely,Tofanelli,Bulgaria,Satovcha,Female,1FBSS3BL7AD336753,Mitsubishi,GTO,Orange,31/1/2020,24762.65,3
84,Lizabeth,Otson,Russia,Sokol,Female,5UXZV4C52DL414780,Honda,S2000,Pink,22/12/2020,25490.51,4
85,Shay,Paddle,Poland,Kotuń,Male,WAUDG98E75A929036,Ford,Mustang,Blue,27/6/2020,27688.8,5
86,Ruttger,Gini,Paraguay,Antequera,Male,1FTWW3A55AE528154,Pontiac,Trans Sport,Indigo,21/4/2020,13120.67,6
87,Rainer,Benion,South Korea,Kwangju,Male,WBXPC93449W765475,Mazda,MX-6,Teal,27/1/2020,28505.5,7
88,Alejandra,Hencke,Democratic Republic of the Congo,Businga,Female,2G4WB55K431482682,Pontiac,1000,Purple,15/5/2020,5827.05,8
89,Lyssa,Colecrough,France,Annecy-le-Vieux,Female,1G6DC8E34E0794151,Mercury,Marquis,Red,14/11/2020,34124.5,9
90,Cordi,Campbell-Dunlop,China,Meishan,Female,WBA3T1C5XEP686870,Hyundai,Accent,Yellow,27/9/2019,32337.45,10
91,Farrell,Ivashchenko,Brazil,Propriá,Male,SCFAB05D29G732811,Chevrolet,Express 1500,Teal,14/4/2020,9314.89,1
92,Maude,Sesser,Poland,Opinogóra Górna,Female,WVGAV7AX7FW275439,Dodge,Ram Wagon B150,Turquoise,22/7/2020,32598.35,2
93,Les,MacGow,Zambia,Mwense,Male,WA1CMBFPXEA857777,Scion,tC,Pink,14/8/2018,15221.66,3
94,Crosby,Leveridge,Colombia,Palermo,Male,JH4DC54863C902546,Toyota,4Runner,Blue,23/2/2019,23748.5,4
95,Alla,Rand,Poland,Łomazy,Female,WAUWFAFH6AN337916,Volkswagen,Jetta,Aquamarine,29/5/2018,33433.58,5
96,Deeanne,Fattori,Ireland,Greystones,Female,JN8BS1MW4DM260234,GMC,Yukon XL 2500,Orange,15/9/2020,29327.11,6
97,Sheree,Rothchild,Serbia,Doljevac,Female,1FMCU9E76AK537045,Buick,Regal,Puce,27/4/2019,18384.54,7
98,Gabe,Wackett,China,Huangchuan,Male,SCBGC3ZA1EC969110,BMW,3 Series,Teal,22/9/2018,32215.42,8
99,Violet,Arrell,China,Huangjiakou,Female,SCBBB7ZH2BC732302,Acura,TSX,Blue,23/6/2018,8120.71,9
100,Mona,Juste,China,Longhe,Female,1NXBE4EE7AZ953042,Ford,F450,Violet,16/2/2018,8011.86,10
101,Mirilla,Gilvary,China,Shiyun,Female,JN1AJ0HP4BM758232,Plymouth,Prowler,Indigo,29/1/2018,7542.23,1
102,Georgette,Dabernott,Japan,Matsue-shi,Female,WAUKH94FX8N366158,Land Rover,Range Rover Evoque,Goldenrod,28/2/2019,9454.29,2
103,Bartolemo,Kee,Iran,Kāmyārān,Male,SCFFDCBD0AG843982,Hyundai,Elantra,Green,21/7/2018,18900.46,3
104,Rodolfo,Doxey,China,Chunhu,Male,WAUNE78P18A715700,MINI,Cooper,Goldenrod,15/4/2020,24523,4
105,Piggy,Moniker,Portugal,Lomba do Loução,Male,WAUFMAFC5EN676473,Chrysler,Town & Country,Khaki,29/12/2019,21544.36,5
106,Millie,Magee,Canada,Cap-Santé,Female,1FMJK1H53DE681907,Audi,Q5,Indigo,26/5/2019,26820.82,6
107,Anselm,Instrell,Brazil,Nova Petrópolis,Male,1GYFK46848R821404,Ford,Mustang,Green,17/9/2019,31725.45,7
108,Odelle,Stansell,China,Jichang,Female,1G6AS5S37F0926507,Cadillac,Escalade EXT,Red,13/12/2019,8463.84,8
109,Arvie,Sifflett,Peru,Tambo Grande,Male,JTHFF2C24D2613782,Oldsmobile,Achieva,Yellow,29/12/2020,19770.13,9
110,Barth,Anster,Indonesia,Sambiyan,Male,1G6DF577390319263,Mercury,Mountaineer,Indigo,25/1/2019,30940.69,10
111,Paula,Standering,Indonesia,Leles,Female,3FAHP0CG3CR338722,Chevrolet,Venture,Blue,18/3/2019,20955.52,1
112,Thorpe,Searston,Portugal,Souto da Casa,Male,5NPDH4AEXEH652470,Jaguar,XJ Series,Blue,14/6/2018,11236.28,2
113,Glenden,Asple,Brazil,Cambuí,Male,1G6AX5S31E0635288,Subaru,Alcyone SVX,Indigo,20/5/2020,32175.62,3
114,Eartha,Pilling,Ukraine,Kuznetsovs’k,Female,JM3KE2BE1D0507744,Chevrolet,Avalanche 1500,Puce,20/9/2020,21011.59,4
115,Constantine,Pithcock,Nepal,Tīkāpur,Male,KMHTC6AD0DU264659,Infiniti,G,Maroon,15/3/2018,5583.24,5
116,Thorin,Skatcher,Australia,Sydney South,Male,5UMCL93472L498525,Acura,RL,Indigo,31/8/2018,7025.11,6
117,Malissa,Sapey,Jordan,Ar Ramthā,Female,WBADW7C57BE152831,Chevrolet,Tahoe,Maroon,31/10/2019,17696.63,7
118,Temp,Lehrahan,Poland,Stanowice,Male,1GYFC23259R148240,Nissan,Cube,Orange,18/8/2018,11799.85,8
119,Barris,Gomar,Philippines,Hilotongan,Male,JN1CV6FE6DM935240,Dodge,Intrepid,Mauv,15/12/2018,30084.74,9
120,Morgan,Garmey,Indonesia,Lasi Dua,Male,WBADS43463G000563,Hyundai,Elantra,Violet,17/8/2018,30868.39,10
121,Moe,Dearden,Croatia,Tovarnik,Male,WAUSH98E16A317534,Chrysler,Concorde,Fuscia,21/3/2020,25558.05,1
122,Augustine,Yuryatin,Ukraine,Krasna,Female,WBA3B3G52EN358900,Nissan,Sentra,Indigo,18/12/2020,13428.56,2
123,Jethro,Smullin,China,Mazhonghe,Male,JTDKN3DU2A0092366,Eagle,Vision,Green,16/12/2019,31644.04,3
124,Gayleen,Feavers,China,Yanshou,Female,1FMJK1G57AE338725,Toyota,Tacoma,Khaki,25/6/2019,33400.57,4
125,Carla,Chance,Russia,Vyselki,Female,2G4GU5EVXC9953549,Saturn,VUE,Yellow,28/1/2020,18785.53,5
126,Arlen,Ollier,Indonesia,Padangtiji,Male,1C4AJWAG6FL644237,BMW,530,Maroon,14/9/2020,24853.13,6
127,Sven,Cressy,China,Chengkou,Male,3D73M3CL2AG813528,Dodge,Stealth,Teal,14/12/2019,11063.72,7
128,Dagmar,Lailey,Philippines,San Pedro,Female,WBAVB73548V312785,Isuzu,Rodeo,Blue,29/8/2018,6056.26,8
129,Lolita,Ceeley,Pakistan,Shabqadar,Female,1FTSX2B57AE177879,MINI,Cooper Countryman,Pink,14/8/2019,20938.55,9
130,Patrice,Galbraith,Guatemala,Pastores,Female,JTEBU4BF1AK716378,Lincoln,Navigator L,Mauv,26/12/2018,28578.78,10
131,Belinda,McInerney,China,Xihanling,Female,1G4HR54K54U022684,Hyundai,Sonata,Yellow,14/11/2020,10322.69,1
132,Tish,Ponceford,Indonesia,Pabuaran,Female,KMHHT6KJ3FU833615,Oldsmobile,Silhouette,Mauv,27/2/2018,33326.13,2
133,Carolann,Jakubovski,Indonesia,Sawo,Female,3D73M4CL4BG194695,Mercedes-Benz,W201,Teal,18/4/2019,26500.85,3
134,Mandel,Catlin,Indonesia,Pasirmalang,Male,3VW4T7ATXDM283730,BMW,600,Khaki,20/5/2020,27439.08,4
135,Man,Downton,Indonesia,Batugede Kulon,Male,5N1AN0NU6AC910071,Ford,Taurus,Yellow,16/8/2020,10033.33,5
136,Geordie,Blueman,China,Zhangduangu,Male,1FTEX1CM3DK083341,Mitsubishi,Galant,Crimson,25/3/2020,13960.43,6
137,Cissiee,Hub,Canada,North Perth,Female,WBADX1C58CJ781128,Chevrolet,Corvette,Maroon,23/6/2019,26477.47,7
138,Ibrahim,Loadman,Russia,Georgiyevka,Male,WAULD64B43N722043,Volkswagen,Eos,Indigo,28/7/2020,11152.94,8
139,Isak,Vallow,Indonesia,Jalanbaru,Male,JM1NC2NF7E0821979,Chevrolet,Impala,Purple,21/6/2020,14787.95,9
140,Claudian,Sheed,Russia,Sedkyrkeshch,Male,KMHTC6AD3EU288679,Mazda,Mazda5,Teal,13/7/2019,26985.15,10
141,Elwyn,Beenham,China,Chenfang,Male,2HNYD2H28DH288788,Oldsmobile,Silhouette,Teal,24/3/2018,11294.2,1
142,Kevon,Taffarello,China,Yandian,Male,1J4NF1GB8BD738622,Aptera,Typ-1,Aquamarine,14/6/2019,28412.3,2
143,Dyan,Schankelborg,New Zealand,Westport,Female,WVWAA7AJ8BW332057,Nissan,Titan,Purple,15/5/2018,19938.5,3
144,Tabatha,Sheering,United States,Richmond,Female,19XFB4F37EE037199,Saab,900,Fuscia,26/9/2018,22413.7,4
145,Kathie,Neaves,Mexico,La Soledad,Female,5J8TB1H50CA004675,Eagle,Talon,Violet,25/3/2020,30707.54,5
146,Wenda,Ingyon,Brazil,Sinop,Female,3C4PDDGG2FT897427,Mazda,B-Series,Indigo,15/8/2020,10058.6,6
147,Devon,O'Sheilds,Indonesia,Cilongkrang,Female,1VWAH7A38DC616383,Dodge,Ram,Orange,27/8/2019,32942.36,7
148,Virginia,Leggate,Ethiopia,Debre Werk’,Female,1G6AJ5SX5D0518171,Mazda,RX-8,Purple,21/3/2018,5510.08,8
149,Lucita,Cupitt,France,Landivisiau,Female,WDDLJ6FB3FA467346,GMC,Savana 2500,Blue,28/2/2018,6149.83,9
150,Mathian,Fullwood,Indonesia,Wotan,Male,5TDBW5G13AS348229,Volvo,XC90,Pink,26/6/2018,22894.29,10
151,Leann,Chastey,Indonesia,Palebunan,Female,WAUGFAFR8CA372559,Mitsubishi,Truck,Purple,26/12/2018,26387.29,1
152,Ninette,Mandell,France,Paris 10,Female,2T2BK1BA2DC091939,Mercedes-Benz,300SD,Teal,15/4/2018,22667.85,2
153,Jacinthe,Chieco,China,Zhenlai,Female,TRUSC28N141704743,Hyundai,Accent,Violet,27/2/2020,30273.95,3
154,Carley,Ferrettini,Jamaica,Gayle,Female,5N1AT2MK3FC441272,Buick,LaCrosse,Teal,29/8/2018,19556.38,4
155,Fidelity,Kopke,Portugal,Marteleira,Female,2FMHK6DT5AB564417,Daewoo,Leganza,Violet,19/1/2020,18473.34,5
156,Paten,Ambroisin,Czech Republic,Dobříš,Male,5FNRL5H24CB541866,Ford,Expedition EL,Aquamarine,16/9/2019,12995.59,6
157,Evelina,Euston,China,Jingzhu,Female,5TDBKRFH1FS304884,Ford,Courier,Green,18/3/2020,22612.8,7
158,Eli,Penman,Brazil,Taboão da Serra,Male,3VW4A7AT8CM865748,Pontiac,Firebird,Indigo,23/12/2018,29656.29,8
159,Cathee,Bohike,Brazil,Humaitá,Female,SCBFC7ZA8EC089931,Volvo,850,Goldenrod,28/8/2020,34307.62,9
160,Gardie,Geekin,China,Efeng,Male,19UYA42703A449454,Dodge,Viper,Mauv,24/2/2019,11290.58,10
161,Tomaso,Caddens,Bulgaria,Plovdiv,Male,5J8TB4H55DL829876,GMC,Savana 1500,Purple,18/2/2018,26718.74,1
162,Percy,Romi,China,Chaiwan,Male,1N6AF0LY0FN902015,Dodge,Durango,Khaki,15/4/2018,11651.65,2
163,Lola,Keemer,Russia,Malysheva,Female,1G6DV8EP8E0636098,Pontiac,1000,Fuscia,16/10/2020,26558.76,3
164,Frants,Legg,Russia,Novoye Devyatkino,Male,JTDKDTB39D1075625,Pontiac,Firebird,Red,29/12/2019,6057.23,4
165,Natividad,Cuerdall,China,Hengtang,Female,1YVHZ8BH4D5854910,Pontiac,Sunbird,Red,27/8/2018,14613.06,5
166,Jerry,Kock,Russia,Kirs,Male,WBAEV33414K176764,Mitsubishi,Pajero,Turquoise,23/11/2018,25389.65,6
167,Robert,Doveston,Philippines,Alupay,Male,TRUDD38J791237702,Mazda,Miata MX-5,Green,13/11/2019,13826.89,7
168,Danita,Lehenmann,China,Oroqen Zizhiqi,Female,3GYT4NEF9BG338274,Spyker,C8 Spyder Wide Body,Puce,25/12/2018,6383.93,8
169,Roddie,Puzey,Ivory Coast,Agboville,Male,3C4PDDDG6DT666063,Audi,R8,Violet,14/1/2018,24223.28,9
170,Modestine,Yeabsley,Ukraine,Izyum,Female,2G4WS52J751870729,Ford,E250,Red,15/7/2018,27184.52,10
171,Dur,Fleming,Moldova,Drochia,Male,KNAFT4A24A5276482,Hyundai,Tiburon,Green,29/5/2019,13942.71,1
172,Crichton,Yosevitz,Czech Republic,Solnice,Male,1C4AJWAG7DL551983,Toyota,Land Cruiser,Aquamarine,13/9/2018,30384.65,2
173,Eugenio,Crone,Brazil,Paraguaçu,Male,3VW507AT7FM453283,Kia,Sorento,Teal,29/10/2019,22692.93,3
174,Morton,Maxstead,Afghanistan,Khōshī,Male,WBABN33462J849750,Tesla,Roadster,Blue,22/5/2020,34428.9,4
175,Nariko,Sarvar,Angola,Cuito,Female,KMHTC6AD5DU517412,Chevrolet,Suburban 1500,Yellow,31/8/2020,33873.1,5
176,Georgeta,MacCarrick,Brazil,Bocaiúva,Female,1FTSW2A5XAE808659,Pontiac,Bonneville,Fuscia,25/1/2020,32784.44,6
177,Ardella,Doblin,Japan,Miyazaki-shi,Female,1G4GF5G37CF205595,Volkswagen,Tiguan,Teal,16/12/2018,12391.93,7
178,Hewet,Heaps,Indonesia,Purwosari,Male,1C4RJEAG6FC615141,Infiniti,QX,Turquoise,14/5/2019,8051.71,8
179,Trixi,Shaxby,Tajikistan,Yovon,Female,SCFAD02E69G027582,Lincoln,Aviator,Teal,14/3/2019,10803.73,9
180,Jaymee,Railton,Portugal,Lama,Female,WBA3V9C51F5837813,Chevrolet,Express 2500,Orange,27/12/2020,28320.65,10
181,Oralee,Colisbe,Nigeria,Obudu,Female,JTDKTUD35DD405961,Toyota,Land Cruiser,Indigo,31/8/2018,27106.04,1
182,Giffer,d' Eye,Sweden,Skellefteå,Male,2C4RDGEG7FR562793,Ford,ZX2,Maroon,27/8/2018,11844.12,2
183,Lefty,Chainey,Indonesia,Kawangu Satu,Male,WAUKH74F38N244729,Ford,Escape,Turquoise,24/11/2018,29070.39,3
184,Marcos,Parnby,Dominican Republic,Salsipuedes,Male,5UXFH0C56AL236290,Acura,ZDX,Fuscia,27/2/2018,9948.85,4
185,Hoyt,Kamien,China,Xinxing,Male,1G6DG5EY3B0761930,Ford,Taurus,Puce,30/4/2020,29116.73,5
186,Nollie,Tabbernor,United States,Young America,Male,2C3CDXEJ9CH274006,Acura,TL,Orange,17/8/2020,24918.35,6
187,Vaclav,Matchell,Ukraine,Komyshnya,Male,KNAFU6A26C5662963,Mercury,Grand Marquis,Fuscia,17/1/2020,16912.35,7
188,Augusto,Willisch,Poland,Miejsce Piastowe,Male,1C3CCBBB7CN729820,Buick,Rendezvous,Pink,14/10/2020,21161.59,8
189,Harri,Bisseker,South Africa,White River,Female,1N6AF0LY8EN929977,Pontiac,Grand Prix,Purple,29/12/2018,21838.19,9
190,Wenda,Booley,Brazil,Francisco Morato,Female,4JGDA2EB6CA263575,Volvo,850,Crimson,21/11/2019,27114.44,10
191,Hasheem,Frere,Russia,Michurinskoye,Male,WDDLJ6HB6FA081940,Audi,90,Maroon,27/6/2018,31845.3,1
192,Jobie,Bulbeck,Peru,Cachimayo,Female,JM1DE1KY1C0747901,Chevrolet,Astro,Blue,23/11/2020,20373.49,2
193,Weidar,Whitsey,Brazil,São Bento do Sul,Male,3C4PDCDG1FT335078,Cadillac,Eldorado,Indigo,20/9/2019,14561,3
194,Lewie,Mesant,Botswana,Metsemotlhaba,Male,1D7CW3GK4AS463159,Toyota,Corolla,Fuscia,13/10/2018,9368.65,4
195,Constantina,Simcock,China,Gurinai,Female,WA1YD64B75N710944,Ford,F-Series,Turquoise,29/7/2020,33547.51,5
196,Marlena,Jarred,Japan,Kashima,Female,2T3BF4DV3CW653989,Pontiac,Firebird,Red,30/11/2019,15347.9,6
197,Melvin,Ramsdell,Indonesia,Gunungpeundeuy,Male,WDBSK7AA8CF074365,Infiniti,EX,Purple,27/9/2020,33300.42,7
198,Whittaker,Addenbrooke,Philippines,Santa Paz,Male,1GT02ZCGXEF458236,Volkswagen,rio,Puce,21/5/2019,11024.56,8
199,Ker,Gilstin,Greece,Lagkadás,Male,KMHHT6KD2CU123966,Kia,Sportage,Red,18/6/2020,34623.54,9
200,Stephanus,Toone,China,Luniao,Male,WDDHF2EB3CA189478,Ford,Mustang,Maroon,18/11/2019,18010.21,10
